Source,Timestamp,TEAM_ID,MISSION_TIME,TIME_STAMP,PACKET_NO,ALTITUDE,PRESSURE,TEMP,BATTERY_VOLTAGE,GPS_TIME,GPS_LAT,GPS_LON,GPS_ALT,GPS_SATS,AX,AY,AZ,GXS,GYS,GZS,FLIGHTSOFTWARE_STATUS,SURFACE_TEMP,SMOKE,CARBON_DIOXIDE,AMMONIA,METHANE,CARBON_MONOXIDE,PITCH,ROLL,YAW
rocket,2025-10-30T02:12:27.647Z,0.1,,,,,,-0.01,,340.81,,90.67,-10.43,-134.93,,,,,,,,,,,,,,,,
rocket,2025-10-30T02:12:27.677Z,2024-ASI-ROCKETRY-036,2025-10-29 19:37:21,,1245,-122.07,1004.2024-ASI-ROCKETRY-036,2025-10-29 19:37:21,1246,-122.07,1004.92,30.87,0.02,07:41:46 IST,26.720929,84.303223,152.8,,-0.02,-0.03,0.08,,,,,,,-0.01,,340.38
rocket,2025-10-30T02:12:27.728Z,2024-ASI-ROCKETRY-036,2025-10-29 19:37:21,,1247,-122.07,1004.92024-ASI-ROCKETRY-036,2025-10-29 19:37:28,1249,-122.05,1004.9,30.89,0.02,07:41:46 IST,26.720929,84.303223,152.8,,-0.02,,0.08,,,,,,,-0.01,,340.38
rocket,2025-10-30T02:12:27.754Z,2024-ASI-ROCKETRY-036,2025-10-29 19:37:28,,1250,-122.05,1004.902024-ASI-ROCKETRY-036,2025-10-29 19:37:28,1251,-122.05,1004.9,30.89,0.02,07:41:46 IST,26.720929,84.303223,152.8,,-0.02,,,,,,,,,-0.01,,341.68
rocket,2025-10-30T02:12:27.776Z,2024-ASI-ROCKETRY-036,2025-10-29 19:37:28,,1252,-122.05,1004.92024-ASI-ROCKETRY-036,2025-10-29 19:37:35,1254,-122.43,1004.91,30.9,0.01,07:42:06 IST,26.720929,84.303223,152.8,,0.03,0.04,,,,,,,,-0.01,,341.68
rocket,2025-10-30T02:12:27.881Z,2024-ASI-ROCKETRY-036,2025-10-29 19:37:35,,1255,-122.43,1004.912024-ASI-ROCKETRY-036,2025-10-29 19:37:35,1256,-122.43,1004.91,30.9,0.01,07:42:06 IST,26.720929,84.303223,152.8,,0.03,0.04,0.06,,,,,,,-0.01,,340.81
rocket,2025-10-30T02:12:27.927Z,2024-ASI-ROCKETRY-036,2025-10-29 19:37:35,,1257,-122.43,1004.91,2024-ASI-ROCKETRY-036,2025-10-29 19:37:41,1259,-122.13,1004.97,30.91,0.01,07:42:06 IST,26.720929,84.303223,152.8,,-0.02,-0.04,0.06,,,,,,,-0.01,
rocket,2025-10-30T02:12:27.977Z,2024-ASI-ROCKETRY-036,2025-10-29 19:37:41,,1260,-122.13,1004.92024-ASI-ROCKETRY-036,2025-10-29 19:37:41,1261,-122.13,1004.97,30.91,0.01,07:42:06 IST,26.720929,84.303223,152.8,,-0.02,-0.04,-0.05,,,,,,,-0.01,,340.38
rocket,2025-10-30T02:12:28.099Z,2024-ASI-ROCKETRY-036,2025-10-29 19:37:41,,1262,-122.13,1004.2024-ASI-ROCKETRY-036,2025-10-29 19:37:48,1264,-121.64,1004.98,30.92,0.01,07:42:06 IST,26.720929,84.303223,152.8,,-0.02,,-0.05,,,,,,,-0.01,,340.38
rocket,2025-10-30T02:12:28.149Z,2024-ASI-ROCKETRY-036,2025-10-29 19:37:48,,1265,-121.64,1004.92024-ASI-ROCKETRY-036,2025-10-29 19:37:48,1266,-121.64,1004.98,30.92,0.01,07:42:06 IST,26.720929,84.303223,152.8,,-0.02,,-0.07,,,,,,,-0.01,,339.51
rocket,2025-10-30T02:12:28.376Z,2024-ASI-ROCKETRY-036,2025-10-29 19:37:48,,1267,-121.64,1004.92024-ASI-ROCKETRY-036,2025-10-29 19:37:55,1269,866.61,1004.83,30.89,0.02,07:42:06 IST,26.720929,84.303223,152.8,,84.83,22.02,-0.07,,,,,,,-0.01,,339.51
