Source,Timestamp,TEAM_ID,MISSION_TIME,PACKET_NO,ALTITUDE,PRESSURE,TEMP,BATTERY_VOLTAGE,GPS_TIME,GPS_LAT,GPS_LON,GPS_ALT,GPS_SATS,AX,AY,AZ,GXS,GYS,GZS,FLIGHTSOFTWARE_STATUS,SURFACE_TEMP,SMOKE,CARBON_DIOXIDE,AMMONIA,METHANE,CARBON_MONOXIDE,PITCH,ROLL,YAW
rocket,2025-10-29T22:00:03.388Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,33,-93.36,1001.63,25.17,6.92,,,,,,0.03,0.03,-0.06,-0.56,-0.22,0.22,,,,59.34,571.89,,,-152.21,-33.78,-72.19
rocket,2025-10-29T22:00:04.397Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,34,-93.36,1001.63,25.17,6.92,,,,,,0.03,0.03,-0.06,-0.56,-0.22,0.22,,,,59.23,571.58,,,-152.21,-33.78,-72.19
rocket,2025-10-29T22:00:06.412Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,35,-93.36,1001.63,25.17,6.92,,,,,,0.03,0.03,0.12,-0.56,-0.22,0.22,,,,59.23,571.58,,,-152.21,-33.78,-72.19
rocket,2025-10-29T22:00:07.429Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,36,-93.36,1001.63,25.17,6.92,,,,,,0.03,0.03,0.12,-0.56,-0.22,0.22,,,,59.23,571.58,,,-152.21,-33.78,-72.19
rocket,2025-10-29T22:00:08.646Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,37,-93.36,1001.63,25.17,6.92,,,,,,0.03,0.03,0.12,-0.56,-0.22,0.22,,,,59.23,571.58,,,-152.21,-33.78,-72.19
rocket,2025-10-29T22:00:09.734Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,38,-92.97,1001.57,25.18,6.92,,,,,,-0.02,-0.02,0.12,-0.56,-0.11,-0.67,,,,59.23,571.58,,,-151.45,-33.67,-72.29
rocket,2025-10-29T22:00:10.751Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,39,-92.97,1001.57,25.18,6.92,,,,,,-0.02,-0.02,0.12,-0.56,-0.11,-0.67,,,,59.12,571.27,,,-151.45,-33.67,-72.29
rocket,2025-10-29T22:00:12.767Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,40,-92.97,1001.57,25.18,6.92,,,,,,-0.02,-0.02,-0.06,-0.56,-0.11,-0.67,,,,59.12,571.27,,,-151.45,-33.67,-72.29
rocket,2025-10-29T22:00:13.785Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,41,-92.97,1001.57,25.18,6.92,,,,,,-0.02,-0.02,-0.06,-0.56,-0.11,-0.67,,,,59.12,571.27,,,-151.45,-33.67,-72.29
rocket,2025-10-29T22:00:15.001Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,42,-92.97,1001.57,25.18,6.92,,,,,,-0.02,-0.02,-0.06,-0.56,-0.11,-0.67,,,,59.12,571.27,,,-151.45,-33.67,-72.29
