/,Timestamp,TEAM_ID,MISSION_TIME,TIME_STAMP,PACKET_NO,ALTITUDE,PRESSURE,TEMP,BATTERY_VOLTAGE,GPS_TIME,GPS_LAT,GPS_LON,GPS_ALT,GPS_SATS,AX,AY,AZ,GXS,GYS,GZS,FLIGHTSOFTWARE_STATUS,SURFACE_TEMP,SMOKE,CARBON_DIOXIDE,AMMONIA,METHANE,CARBON_MONOXIDE,PITCH,ROLL,YAW,,,
rocket,2025-10-30T01:23:47.306Z,,,,,,,-0.01,,343.84,,,,,,,,,,,,,,,,,,,,,,,
rocket,2025-10-30T01:23:49.361Z,2024-ASI-ROCKETRY-036,2025-10-29,18:48:40,,26,-120.53,1004.69,25.49,0.02024-ASI-ROCKETRY-036,2025-10-29,18:48:40,27,-120.53,1004.69,25.49,0.01,06:52:45,IST,26.719899,84.304527,44.5,11,,,0.11,,,,,,,-0.01
rocket,2025-10-30T01:23:49.387Z,2024-ASI-ROCKETRY-036,2025-10-29,18:48:47,,28,-120.53,1004.69,25.49,0.012024-ASI-ROCKETRY-036,2025-10-29,18:48:47,30,-120.33,1004.65,25.5,0.01,06:53:18,IST,26.719899,84.304528,44.5,11,,,0.11,,,,,,,-0.01
rocket,2025-10-30T01:23:49.434Z,2024-ASI-ROCKETRY-036,2025-10-29,18:48:47,,31,-120.33,1004.65,25.5,0.012024-ASI-ROCKETRY-036,2025-10-29,18:48:47,32,-120.33,1004.65,25.5,0.01,06:53:18,IST,26.719899,84.304528,44.5,11,,,-0.03,,,,,,,-0.01
rocket,2025-10-30T01:23:49.493Z,2024-ASI-ROCKETRY-036,2025-10-29,18:48:53,,33,-120.33,1004.65,25.5,0.02024-ASI-ROCKETRY-036,2025-10-29,18:48:53,35,-119.94,1004.72,25.52,0.01,06:53:18,IST,26.719899,84.304528,44.5,11,,,-0.03,,,,,,,-0.01
rocket,2025-10-30T01:23:49.608Z,2024-ASI-ROCKETRY-036,2025-10-29,18:48:53,,36,-119.94,1004.72,25.52,0.02024-ASI-ROCKETRY-036,2025-10-29,18:48:53,37,-119.94,1004.72,25.52,0.01,06:53:18,IST,26.719899,84.304528,44.5,11,,,-0.06,,,,,,,-0.01
rocket,2025-10-30T01:23:49.632Z,2024-ASI-ROCKETRY-036,2025-10-29,18:49:00,,38,-119.94,1004.72,25.52,0.02024-ASI-ROCKETRY-036,2025-10-29,18:49:00,40,-120.13,1004.65,25.53,0.02,06:53:18,IST,26.719899,84.304528,44.5,11,,,-0.06,,,,,,,-0.01
rocket,2025-10-30T01:23:49.710Z,2024-ASI-ROCKETRY-036,2025-10-29,18:49:00,,41,-120.13,1004.65,25.53,0.02024-ASI-ROCKETRY-036,2025-10-29,18:49:00,42,-120.13,1004.65,25.53,0.02,06:53:18,IST,26.719899,84.304528,44.5,11,,,0.03,,,,,,,-0.01
rocket,2025-10-30T01:23:49.736Z,2024-ASI-ROCKETRY-036,2025-10-29,18:49:06,,43,-120.13,1004.65,25.53,0.022024-ASI-ROCKETRY-036,2025-10-29,18:49:06,45,-120.12,1004.73,25.54,0.01,06:53:38,IST,26.719898,84.304532,43.3,13,,,0.03,,,,,,,-0.01
rocket,2025-10-30T01:23:49.746Z,2024-ASI-ROCKETRY-036,2025-10-29,18:49:06,,46,-120.12,1004.73,25.54,0.012024-ASI-ROCKETRY-036,2025-10-29,18:49:06,47,-120.12,1004.73,25.54,0.01,06:53:38,IST,26.719898,84.304532,43.3,13,,,,,,,,,,-0.01
