Source,Timestamp,TEAM_ID,MISSION_TIME,TIME_STAMP,PACKET_NO,ALTITUDE,PRESSURE,TEMP,BATTERY_VOLTAGE,GPS_TIME,GPS_LAT,GPS_LON,GPS_ALT,GPS_SATS,AX,AY,AZ,GXS,GYS,GZS,FLIGHTSOFTWARE_STATUS,SURFACE_TEMP,SMOKE,CARBON_DIOXIDE,AMMONIA,METHANE,CARBON_MONOXIDE,PITCH,ROLL,YAW
rocket,2025-10-30T01:33:23.388Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,,173,-121.46,1004.83,22.43,6.9,,,,,,-0.05,,0.06,,,,,,,59.45,572.21,,,-91.24,-73.05,-171.21
rocket,2025-10-30T01:33:23.414Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,,174,-121.46,1004.83,22.43,6.9,,,,,,-0.05,,0.06,,,,,,,59.45,572.21,,,-91.24,-73.05,-171.21
rocket,2025-10-30T01:33:23.441Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,,175,-121.46,1004.83,22.43,6.9,,,,,,-0.05,,0.01,,,,,,,59.45,572.21,,,-91.24,-73.05,-171.21
rocket,2025-10-30T01:33:23.444Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,,176,-121.46,1004.83,22.43,6.9,,,,,,-0.05,-0.00.21,-91.24,-73.05,-171.21,,,,,,,,,,,
rocket,2025-10-30T01:33:23.472Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,,179,-121.37,1004.88,22.43,6.9,,,,,,-0.02,-0.01,0.01,,,,,,,56.83,564.68,,,-91.24,-73.05,-171.21
rocket,2025-10-30T01:33:23.493Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,,180,-121.37,2024-ASI-ROCKET-036,2000-01-01 00:00:00,181,-121.37,1004.88,22.43,6.9,,,,,,-0.02,-0.01,-0.01,,,,,,,,,56.83
rocket,2025-10-30T01:33:23.520Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,,182,-121.37,1004.88,22.43,6.9,,0.00002024-ASI-ROCKET-036,2000-01-01 00:00:00,184,-120.9,1004.83,22.42,6.9,,,,,,-0.01,,-0.01,,,,,
rocket,2025-10-30T01:33:23.560Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,,185,-120.9,1004.83,22.42,6.9,,0.00002024-ASI-ROCKET-036,2000-01-01 00:00:00,187,-120.9,1004.83,22.42,6.9,,,,,,-0.01,,-0.07,,,,,
rocket,2025-10-30T01:33:23.587Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,,188,-121.27,1004.87,22.44,6.9,,0.00002024-ASI-ROCKET-036,2000-01-01 00:00:00,190,-121.27,1004.87,22.44,6.9,,,,,,-0.05,0.04,0.06,,,,,
rocket,2025-10-30T01:33:23.612Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,,191,-121.27,1004.87,22.44,6.9,,0.0000002024-ASI-ROCKET-036,2000-01-01 00:00:00,192,-121.27,1004.87,22.44,6.9,,,,,,-0.05,0.04,0.06,,,,,
rocket,2025-10-30T01:33:23.623Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,,193,-121.37,1004.88,22.44,6.9,,0.0000002024-ASI-ROCKET-036,2000-01-01 00:00:00,195,-121.37,1004.88,22.44,6.9,,,,,,-0.05,0.04,0.01,,,-0.11,-0.22,
rocket,2025-10-30T01:33:23.690Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,,196,-121.37,1004.88,22.44,6.9,,0.00002024-ASI-ROCKET-036,2000-01-01 00:00:00,197,-121.37,1004.88,22.44,6.9,,,,,,-0.05,0.04,0.01,,,-0.11,-0.22,
rocket,2025-10-30T01:33:24.836Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,,198,-121.37,1004.79,22.45,6.9,,,,,,0.06,-0.04,0.01,-0.11,-0.22,,,,,59.45,572.21,,,-91.32,-73.05,-171.15
rocket,2025-10-30T01:33:25.852Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,,199,-121.37,1004.79,22.45,6.9,,,,,,0.06,-0.04,0.01,-0.11,-0.22,,,,,59.45,572.21,,,-91.32,-73.05,-171.15
cansat,2025-10-30T01:34:02.907Z,2024-ASI-ROCKET-036,,2000-01-01 00:00:00,228,-121.46,1004.83,22.44,6.85,,,,,,0.02,,0.12,,,,,,,572.21,59.45,,,-91.25,-73.14,-171.12
cansat,2025-10-30T01:34:11.342Z,2024-ASI-ROCKET-036,,2000-01-01 00:00:00,230,-121.46,1004.83,22.44,6.85,,,,,,0.02,,0.01,,,,,,,572.21,59.45,,,-91.25,-73.14,-171.12
cansat,2025-10-30T01:34:11.373Z,2024-ASI-ROCKET-036,,2000-01-01 00:00:00,231,-121.46,1004.83,22.44,6.85,,,,,,0.02,,0.01,,,,,,,572.21,59.45,,,-91.25,-73.14,-171.12
cansat,2025-10-30T01:34:11.478Z,2024-ASI-ROCKET-036,,2000-01-01 00:00:00,232,-121.46,1004.83,22.44,6.85,,,,,,0.02,,0.01,,,,,,,572.21,59.45,,,-91.25,-73.14,-171.12
cansat,2025-10-30T01:34:11.494Z,2024-ASI-ROCKET-036,,2000-01-01 00:00:00,233,-121.46,1004.79,22.45,6.9,,,,,,0.02,0.03,0.01,,,,,,,572.21,59.45,,,-91.25,-73.14,-171.12
cansat,2025-10-30T01:34:11.811Z,2024-ASI-ROCKET-036,,2000-01-01 00:00:00,234,-121.46,1004.79,22.45,6.9,,,,,,0.02,0.03,0.01,,,,,,,572.21,59.45,,,-91.25,-73.14,-171.12
cansat,2025-10-30T01:34:12.255Z,2024-ASI-ROCKET-036,,2000-01-01 00:00:00,235,-121.46,1004.79,22.45,6.9,,,,,,0.02,0.03,,,,,,,,572.21,59.45,,,-91.25,-73.14,-171.12
cansat,2025-10-30T01:34:13.309Z,2024-ASI-ROCKET-036,,2000-01-01 00:00:00,236,-121.46,1004.79,22.45,6.9,,,,,,0.02,0.03,,,,,,,,572.21,59.45,,,-91.25,-73.14,-171.12
cansat,2025-10-30T01:34:14.488Z,2024-ASI-ROCKET-036,,2000-01-01 00:00:00,237,-121.46,1004.79,22.45,6.9,,,,,,0.02,0.03,,,,,,,,572.21,59.45,,,-91.25,-73.14,-171.12
cansat,2025-10-30T01:34:15.662Z,2024-ASI-ROCKET-036,,2000-01-01 00:00:00,238,-121.27,1004.89,22.44,6.9,,,,,,-0.02,-0.01,,,,,,,,572.21,59.45,,,-91.25,-73.14,-171.12
cansat,2025-10-30T01:34:17.261Z,2024-ASI-ROCKET-036,,2000-01-01 00:00:00,239,-121.27,1004.89,22.44,6.9,,,,,,-0.02,-0.01,,,,,,,,572.21,59.45,,,-91.25,-73.14,-171.12
cansat,2025-10-30T01:34:18.707Z,2024-ASI-ROCKET-036,,2000-01-01 00:00:00,240,-121.27,1004.89,22.44,6.9,,,,,,-0.02,-0.01,-0.03,,,,,,,572.21,59.45,,,-91.25,-73.14,-171.12
cansat,2025-10-30T01:34:19.842Z,2024-ASI-ROCKET-036,,2000-01-01 00:00:00,241,-121.27,1004.89,22.44,6.9,,,,,,-0.02,-0.01,-0.03,,,,,,,572.21,59.45,,,-91.25,-73.14,-171.12
cansat,2025-10-30T01:34:20.999Z,2024-ASI-ROCKET-036,,2000-01-01 00:00:00,242,-121.27,1004.89,22.44,6.9,,,,,,-0.02,-0.01,-0.03,,,,,,,572.21,59.45,,,-91.25,-73.14,-171.12
cansat,2025-10-30T01:34:22.191Z,2024-ASI-ROCKET-036,,2000-01-01 00:00:00,243,-120.9,1004.8,22.44,6.86,,,,,,-0.02,-0.01,-0.03,,,,,,,572.21,59.45,,,-91.25,-73.14,-171.12
cansat,2025-10-30T01:34:23.112Z,2024-ASI-ROCKET-036,,2000-01-01 00:00:00,244,-120.9,1004.8,22.44,6.86,,,,,,-0.02,-0.01,-0.03,,,,,,,571.27,59.12,,,-91.25,-73.14,-171.12
cansat,2025-10-30T01:34:25.018Z,2024-ASI-ROCKET-036,,2000-01-01 00:00:00,245,-120.9,1004.8,22.44,6.86,,,,,,-0.02,-0.01,-0.06,,,,,,,571.27,59.12,,,-91.25,-73.14,-171.12
cansat,2025-10-30T01:34:26.033Z,2024-ASI-ROCKET-036,,2000-01-01 00:00:00,246,-120.9,1004.8,22.44,6.86,,,,,,-0.02,-0.01,-0.06,,,,,,,571.27,59.12,,,-91.25,-73.14,-171.12
cansat,2025-10-30T01:34:27.601Z,2024-ASI-ROCKET-036,,2000-01-01 00:00:00,247,-120.9,1004.8,22.44,6.86,,,,,,-0.02,-0.01,-0.06,,,,,,,571.27,59.12,,,-91.25,-73.14,-171.12
cansat,2025-10-30T01:34:28.589Z,2024-ASI-ROCKET-036,,2000-01-01 00:00:00,248,-121.27,1004.9,22.45,6.9,,,,,,0.01,-0.01,-0.06,,,,,,,571.27,59.12,,,-91.25,-73.14,-171.12
cansat,2025-10-30T01:34:29.573Z,2024-ASI-ROCKET-036,,2000-01-01 00:00:00,249,-121.27,1004.9,22.45,6.9,,,,,,0.01,-0.01,-0.06,,,,,,,571.58,59.23,,,-91.25,-73.14,-171.12
